author	publication_year	title	subject_topic
Trenck, Friedrich Von Der (1726-1794)	1790	Baron Fredrik von der Trenks märkwärdiga lefwernes-beskrifning. Öfwersatt af Carl Leonard Stålhammar. Andra uplagan. Med kongl. maj:ts allernådigste privilegio. =1-3. Stockholm 1790-99	NA
Trenck, Friedrich Von Der (1726-1794)	1790	Baron Fredrik von der Trenks märkwärdiga lefwernes-beskrifning. Öfwersatt af Carl Leonard Stålhammar. Andra uplagan. Med kongl. maj:ts allernådigste privilegio. =1-3. Stockholm 1790-99	NA
Trenck, Friedrich Von Der (1726-1794)	1799	Baron Fredrik von der Trenks märkwärdiga lefwernes-beskrifning. Öfwersatt af Carl Leonard Stålhammar. Andra uplagan. Med kongl. maj:ts allernådigste privilegio. =1-3. Stockholm 1790-99	NA
Leprince De Beaumont, Jeanne Marie (1711-1780)	1781	Bref-wäxling mellan Emerance och Lucie af fru Le Prince de Beaumont. Öfwersättning. =1-4. Stockholm 1781-83.=	NA
Leprince De Beaumont, Jeanne Marie (1711-1780)	1781	Bref-wäxling mellan Emerance och Lucie af fru Le Prince de Beaumont. Öfwersättning. =1-4. Stockholm 1781-83.=	NA
Leprince De Beaumont, Jeanne Marie (1711-1780)	1783	Bref-wäxling mellan Emerance och Lucie af fru Le Prince de Beaumont. Öfwersättning. =1-4. Stockholm 1781-83.=	NA
Leprince De Beaumont, Jeanne Marie (1711-1780)	1783	Bref-wäxling mellan Emerance och Lucie af fru Le Prince de Beaumont. Öfwersättning. =1-4. Stockholm 1781-83.=	NA
Hydrén, Eric (1732-1786)	1762	Kort berättelse om det nu warande tyska kriget. =Anon=. Upsala hos Christian Erhard Steinert. (Upsala, tryckt uti kongl. academiska tryckeriet.) =1. 1762.=	Tyskland
NA	1800	Catalog öfver k. secr. Flintenbergs lån-bibliothek. =(Rubr.)= [Stockholm, C. Deleen och J.G. Forsgren.] =1-4. 1800-1801.=	NA
NA	1800	Catalog öfver k. secr. Flintenbergs lån-bibliothek. =(Rubr.)= [Stockholm, C. Deleen och J.G. Forsgren.] =1-4. 1800-1801.=	NA
NA	1800	Catalog öfver k. secr. Flintenbergs lån-bibliothek. =(Rubr.)= [Stockholm, C. Deleen och J.G. Forsgren.] =1-4. 1800-1801.=	NA
NA	1801	Catalog öfver k. secr. Flintenbergs lån-bibliothek. =(Rubr.)= [Stockholm, C. Deleen och J.G. Forsgren.] =1-4. 1800-1801.=	NA
NA	1824	Förteckning öfver f.d. bokhandlaren hr Thomassons, till creditorer afträdde boklager, som å stadens bok-auctions- kammare kommer att offentl. försäljas d. 20 october och följande dagar. Stockholm, tryckt hos Fr. B. Nestius. =1-3. 1824.=	NA
NA	1824	Förteckning öfver f.d. bokhandlaren hr Thomassons, till creditorer afträdde boklager, som å stadens bok-auctions- kammare kommer att offentl. försäljas d. 20 october och följande dagar. Stockholm, tryckt hos Fr. B. Nestius. =1-3. 1824.=	NA
NA	1824	Förteckning öfver f.d. bokhandlaren hr Thomassons, till creditorer afträdde boklager, som å stadens bok-auctions- kammare kommer att offentl. försäljas d. 20 october och följande dagar. Stockholm, tryckt hos Fr. B. Nestius. =1-3. 1824.=	NA
Cleve, Friedrich August (1743-1796)	1784	Lese-Bibliothek eröfnet den 6:ten December 1783. Von Friedrich August Cleve. ... Mit Genehmigung des königl: [8-10:] königl. Canzley-Collegii. Stockholm, gedruckt bey dem Controlleur C.G. Cronland. =1-22. 1784-92=	NA
Cleve, Friedrich August (1743-1796)	1784	Lese-Bibliothek eröfnet den 6:ten December 1783. Von Friedrich August Cleve. ... Mit Genehmigung des königl: [8-10:] königl. Canzley-Collegii. Stockholm, gedruckt bey dem Controlleur C.G. Cronland. =1-22. 1784-92=	NA
Cleve, Friedrich August (1743-1796)	1787	Lese-Bibliothek eröfnet den 6:ten December 1783. Von Friedrich August Cleve. ... Mit Genehmigung des königl: [8-10:] königl. Canzley-Collegii. Stockholm, gedruckt bey dem Controlleur C.G. Cronland. =1-22. 1784-92=	NA
Cleve, Friedrich August (1743-1796)	1784	Lese-Bibliothek eröfnet den 6:ten December 1783. Von Friedrich August Cleve. ... Mit Genehmigung des königl: [8-10:] königl. Canzley-Collegii. Stockholm, gedruckt bey dem Controlleur C.G. Cronland. =1-22. 1784-92=	NA
Cleve, Friedrich August (1743-1796)	1784	Lese-Bibliothek eröfnet den 6:ten December 1783. Von Friedrich August Cleve. ... Mit Genehmigung des königl: [8-10:] königl. Canzley-Collegii. Stockholm, gedruckt bey dem Controlleur C.G. Cronland. =1-22. 1784-92=	NA
Cleve, Friedrich August (1743-1796)	1784	Lese-Bibliothek eröfnet den 6:ten December 1783. Von Friedrich August Cleve. ... Mit Genehmigung des königl: [8-10:] königl. Canzley-Collegii. Stockholm, gedruckt bey dem Controlleur C.G. Cronland. =1-22. 1784-92=	NA
Cleve, Friedrich August (1743-1796)	1788	Lese-Bibliothek eröfnet den 6:ten December 1783. Von Friedrich August Cleve. ... Mit Genehmigung des königl: [8-10:] königl. Canzley-Collegii. Stockholm, gedruckt bey dem Controlleur C.G. Cronland. =1-22. 1784-92=	NA
