1,1,c:stcv:3101797,dut,dt
1,2,c:stcv:3101833,dut,dt
1,3,c:stcv:3101873,lat,bt
2,4,c:stcv:3101873,dut,dt
3,5,c:stcv:3101873,lat,dt
1,6,c:stcv:3101924,dut,dt
1,7,c:stcv:3101926,lat,bt
2,8,c:stcv:3101926,dut,dt
3,9,c:stcv:3101926,lat,dt
1,10,c:stcv:3101949,dut,dt
1,11,c:stcv:3101960,fre,bt
2,12,c:stcv:3101960,dut,dt
1,13,c:stcv:3101962,dut,dt
1,14,c:stcv:3101975,dut,dt
1,15,c:stcv:3101989,fre,bt
2,16,c:stcv:3101989,dut,dt
1,17,c:stcv:3101998,dut,dt
1,18,c:stcv:3102002,fre,bt
2,19,c:stcv:3102002,dut,dt
1,20,c:stcv:3102011,fre,bt
2,21,c:stcv:3102011,dut,dt
1,22,c:stcv:3102021,dut,dt
1,23,c:stcv:3102026,dut,dt
1,24,c:stcv:3102073,dut,dt
1,25,c:stcv:3102087,dut,dt
1,26,c:stcv:3102110,dut,dt
1,27,c:stcv:3102120,dut,dt
1,28,c:stcv:3102147,lat,bt
2,29,c:stcv:3102147,dut,dt
1,30,c:stcv:3102192,lat,bt
2,31,c:stcv:3102192,dut,dt
1,32,c:stcv:3102211,dut,dt
1,33,c:stcv:3102331,dut,dt
1,34,c:stcv:3102511,dut,dt
1,35,c:stcv:3102611,dut,dt
1,36,c:stcv:3102674,dut,dt
1,37,c:stcv:3102720,eng,bt
2,38,c:stcv:3102720,dut,dt
1,39,c:stcv:3102883,lat,bt
2,40,c:stcv:3102883,dut,dt
3,41,c:stcv:3102883,lat,dt
1,42,c:stcv:3103008,ita,bt
2,43,c:stcv:3103008,dut,dt
1,44,c:stcv:3103049,ita,bt
2,45,c:stcv:3103049,spa,bt
3,46,c:stcv:3103049,fre,bt
4,47,c:stcv:3103049,lat,bt
5,48,c:stcv:3103049,dut,dt
1,49,c:stcv:3103192,dut,dt
1,50,c:stcv:3103231,dut,dt
1,51,c:stcv:3103247,dut,dt
1,52,c:stcv:3103257,dut,dt
1,53,c:stcv:3103555,dut,dt
1,54,c:stcv:3103591,dut,dt
1,55,c:stcv:3103614,dut,dt
1,56,c:stcv:3103660,dut,dt
1,57,c:stcv:3103675,fre,bt
2,58,c:stcv:3103675,dut,dt
1,59,c:stcv:3103694,fre,bt
2,60,c:stcv:3103694,dut,dt
1,61,c:stcv:3103725,fre,bt
2,62,c:stcv:3103725,dut,dt
1,63,c:stcv:3103727,dut,dt
1,64,c:stcv:3103732,dut,dt
1,65,c:stcv:3103862,dut,dt
1,66,c:stcv:3103873,dut,dt
1,67,c:stcv:3103902,dut,dt
1,68,c:stcv:3103907,dut,dt
1,69,c:stcv:3103914,dut,dt
1,70,c:stcv:3103921,dut,dt
1,71,c:stcv:3104014,dut,dt
1,72,c:stcv:3104050,dut,dt
1,73,c:stcv:3104060,dut,dt
1,74,c:stcv:3104084,dut,dt
1,75,c:stcv:3104091,dut,dt
1,76,c:stcv:3104097,dut,dt
1,77,c:stcv:3104109,dut,dt
1,78,c:stcv:3104569,dut,dt
1,79,c:stcv:3104581,dut,dt
1,80,c:stcv:3104650,dut,dt
1,81,c:stcv:3104700,dut,dt
1,82,c:stcv:3104782,dut,dt
1,83,c:stcv:3104799,fre,bt
2,84,c:stcv:3104799,dut,dt
1,85,c:stcv:3104821,dut,dt
1,86,c:stcv:3104863,dut,dt
1,87,c:stcv:3104902,dut,dt
1,88,c:stcv:3104907,dut,dt
1,89,c:stcv:3105016,dut,dt
1,90,c:stcv:3105032,dut,dt
1,91,c:stcv:3105058,dut,dt
1,92,c:stcv:3105067,dut,dt
1,93,c:stcv:3105094,dut,dt
1,94,c:stcv:3105100,dut,dt
1,95,c:stcv:3105109,fre,bt
2,96,c:stcv:3105109,dut,dt
1,97,c:stcv:3105116,fre,bt
2,98,c:stcv:3105116,dut,dt
1,99,c:stcv:3105122,dut,dt
1,100,c:stcv:3105127,dut,dt
1,101,c:stcv:3105253,dut,dt
1,102,c:stcv:3105340,dut,dt
1,103,c:stcv:3105350,dut,dt
1,104,c:stcv:3105369,dut,dt
1,105,c:stcv:3105389,ita,bt
2,106,c:stcv:3105389,dut,dt
1,107,c:stcv:3105399,dut,dt
1,108,c:stcv:3105400,dut,dt
1,109,c:stcv:3105418,fre,bt
