1,37,a::920.41475:1.2,,P.J. de L.,aut,oip,fp,,P.J. de L.,,P.I. de L.,c:stcv:3103231
1,38,a::920.41475:1.1,,P.J. de L.,aut,oip,fp,,P.J. de L.,,P.J. de L.,c:stcv:3103247
1,39,a::920.41475:1.1,,P.J. de L.,aut,oip,fp,,P.J. de L.,,P.J. de L.,c:stcv:3103257
1,40,a::920.41475:1.2,,P.J. de L.,aut,oip,fp,,P.J. de L.,,P.I. de L.,c:stcv:3103555
1,41,a::920.40905:1,,"Metser, de",aut,oip,doc,Guilielmus,"Metser, de, Guilielmus",c.1613-1683,"Metser, de, Guilielmus",c:stcv:3103591
1,42,a::920.7294:1.2,,Hazart,aut,oip,fp,Cornelius,"Hazart, Cornelius",1617-1690,Cornelivs Hazart,c:stcv:3103614
1,43,a::920.41452:1.1,,Lacman,aut,oip,fp,Joannes,"Lacman, Joannes",,Joannes Lacman,c:stcv:3103675
1,44,a::920.6418:1.1,,Olier,aut,oip,fp,Jean Jacques,"Olier, Jean Jacques",1608-1657,Olier,c:stcv:3103694
1,45,a::920.4378:1,,Bouhours,aut,oip,ext,Dominique,"Bouhours, Dominique",1628-1702,"Bouhours, Dominique",c:stcv:3103725
1,46,a::920.7294:1.2,,Hazart,aut,oip,fp,Cornelius,"Hazart, Cornelius",1617-1690,Cornelivs Hazart,c:stcv:3103727
1,47,a::920.7294:1.1,,Hazart,aut,oip,fp,Cornelius,"Hazart, Cornelius",1617-1690,Cornelius Hazart,c:stcv:3103732
1,48,a::920.41449:1.1,,Borremans,aut,oip,fp,Joannes,"Borremans, Joannes",,Joannes Borremans,c:stcv:3103862
1,49,a::920.7294:1.2,,Hazart,aut,oip,fp,Cornelius,"Hazart, Cornelius",1617-1690,Cornelivs Hazart,c:stcv:3103873
1,50,a::920.41487:1.1,,Faber,aut,oip,fp,Christophorus,"Faber, Christophorus",,Christophorus Faber,c:stcv:3103902
2,51,a::920.41488:1,,"Wit, de",dub,oip,ext,Theodoricus,"Wit, de, Theodoricus",-1613,"Wit, de, Theodoricus",c:stcv:3103902
1,52,a::920.41489:1.1,,Servatius a S. Petro,aut,oip,fp,,Servatius a S. Petro,1641-1707,P.J.P.S.,c:stcv:3103907
1,53,a::920.7294:1.2,,Hazart,aut,oip,fp,Cornelius,"Hazart, Cornelius",1617-1690,Cornelivs Hazart,c:stcv:3103914
1,54,a::920.7294:1.2,,Hazart,aut,oip,fp,Cornelius,"Hazart, Cornelius",1617-1690,Cornelivs Hazart,c:stcv:3103921
1,55,a::920.41492:1.1,,"Smidt, de",aut,oip,fp,Aegidius,"Smidt, de, Aegidius",1584-1670,eenen priester der Societ. Iesu,c:stcv:3104014
1,56,a::920.7294:1.2,,Hazart,aut,oip,fp,Cornelius,"Hazart, Cornelius",1617-1690,Cornelivs Hazart,c:stcv:3104050
1,57,a::920.7294:1.2,,Hazart,aut,oip,fp,Cornelius,"Hazart, Cornelius",1617-1690,Cornelivs Hazart,c:stcv:3104060
1,58,a::920.7294:1.1,,Hazart,aut,oip,fp,Cornelius,"Hazart, Cornelius",1617-1690,Cornelius Hazart,c:stcv:3104084
1,59,a::920.7294:1.2,,Hazart,aut,oip,fp,Cornelius,"Hazart, Cornelius",1617-1690,Cornelivs Hazart,c:stcv:3104091
1,60,a::920.7294:1.2,,Hazart,aut,oip,fp,Cornelius,"Hazart, Cornelius",1617-1690,Cornelivs Hazart,c:stcv:3104097
1,61,a::920.7294:1.2,,Hazart,aut,oip,fp,Cornelius,"Hazart, Cornelius",1617-1690,Cornelivs Hazart,c:stcv:3104109
1,62,a::920.41487:1.1,,Faber,aut,oip,fp,Christophorus,"Faber, Christophorus",,Christophorus Faber,c:stcv:3104569
2,63,a::920.41488:1,,"Wit, de",dub,oip,ext,Theodoricus,"Wit, de, Theodoricus",-1613,"Wit, de, Theodoricus",c:stcv:3104569
1,64,a::920.41496:1.1,,"Sangere, de",aut,oip,fp,Jan,"Sangere, de, Jan",c. 1560-c. 1613,Ian de Sangere,c:stcv:3104581
1,65,a::920.41496:1.1,,"Sangere, de",aut,oip,fp,Jan,"Sangere, de, Jan",c. 1560-c. 1613,Ian de Sangere,c:stcv:3104650
2,66,a::920.22742:1,,"Sichem, van",ill,oip,doc,Christoffel II,"Sichem, van, Christoffel II",c.1581-1658,"Sichem, van, Christoffel II",c:stcv:3104650
1,67,a::920.41499:1.1,,"Meerbeeck, van",aut,oip,fp,Adrianus,"Meerbeeck, van, Adrianus",1563-c. 1625,Adrianvs van Meerbeeck,c:stcv:3104700
2,68,a::920.41500:1.1,,"Haen, de",ill,oip,fp,Willem,"Haen, de, Willem",,Guiliel. de Haen,c:stcv:3104700
3,69,a::920.41502:1.1,,"Jode, de",ill,oip,fp,Petrus,"Jode, de, Petrus",1606-na 1674,P. de Iode,c:stcv:3104700
1,70,a::920.41452:1.1,,Lacman,aut,oip,fp,Joannes,"Lacman, Joannes",,Joannes Lacman,c:stcv:3104799
1,71,a::920.41503:1.1,,Jegher,ill,oip,fp,Jan Christoffel,"Jegher, Jan Christoffel",1618-ca. 1666/1667,I.C.I.,c:stcv:3104821
1,72,a::920.9575:1.3,,Costerus,aut,oip,fp,Franciscus,"Costerus, Franciscus",1531-1619,Franciscvs Costervs,c:stcv:3104902
1,73,a::920.41505:1,,"Pretere, de",aut,oip,ext,Guillaume,"Pretere, de, Guillaume",1578-1626,"Pretere, de, Guillaume",c:stcv:3104907
1,74,a::920.3768:1.4,,Francis of Sales,aut,oip,fp,,Francis of Sales,1567-1622,Franciscvs de Sales,c:stcv:3105032
1,75,a::920.10406:1.10,,Coebergher,aut,oip,fp,Wenzel,"Coebergher, Wenzel",c.1561-1634,Wenceslavs Coberger,c:stcv:3105058
2,76,a::920.41507:1.1,,Amator Pietatis,adp,oip,fp,,Amator Pietatis,,Amator Pietatis,c:stcv:3105058
1,77,a::920.21812:1.5,,"Bolswert, à",aut,oip,fp,Boëtius Adamsz.,"Bolswert, à, Boëtius Adamsz.",c.1580-1633,Boetius a. Bolswert,c:stcv:3105067
2,78,a::920.41508:1,,Marius,aut,oip,ext,Leonardus,"Marius, Leonardus",1588-1652,"Marius, Leonardus",c:stcv:3105067
1,79,a::920.40910:1.1,,Roucourt,aut,oip,fp,Joannes,"Roucourt, Joannes",1636-1667,J.R.P.,c:stcv:3105094
1,80,a::920.40910:1.1,,Roucourt,aut,oip,fp,Joannes,"Roucourt, Joannes",1636-1667,J.R.P.,c:stcv:3105100
1,81,a::920.3768:1.3,,Francis of Sales,aut,oip,fp,,Francis of Sales,1567-1622,Franciscus de Sales,c:stcv:3105109
2,82,a::920.41499:1.2,,"Meerbeeck, van",trl,oip,fp,Adrianus,"Meerbeeck, van, Adrianus",1563-c. 1625,Adriaen van Meerbeeck,c:stcv:3105109
1,83,a::920.3768:1.3,,Francis of Sales,aut,oip,fp,,Francis of Sales,1567-1622,Franciscus de Sales,c:stcv:3105116
2,84,a::920.41499:1.2,,"Meerbeeck, van",trl,oip,fp,Adrianus,"Meerbeeck, van, Adrianus",1563-c. 1625,Adriaen van Meerbeeck,c:stcv:3105116
1,85,a::920.3768:1.3,,Francis of Sales,aut,oip,fp,,Francis of Sales,1567-1622,Franciscus de Sales,c:stcv:3105122
2,86,a::920.41499:1.2,,"Meerbeeck, van",trl,oip,fp,Adrianus,"Meerbeeck, van, Adrianus",1563-c. 1625,Adriaen van Meerbeeck,c:stcv:3105122
1,87,a::920.40927:1,,Myleman,aut,oip,ext,Carolus,"Myleman, Carolus",,"Myleman, Carolus",c:stcv:3105127
1,88,a::920.40916:1.3,,Huygens,aut,oip,fp,Gummarus,"Huygens, Gummarus",1631-1702,G.H.,c:stcv:3105253
1,89,a::920.41511:1.1,,A.R.,aut,oip,fp,,A.R.,,A.R.,c:stcv:3105340
2,90,a::920.41512:1.1,,Is.M.,aut,oip,fp,,Is.M.,,Is.M.,c:stcv:3105340
3,91,a::920.41513:1,jr.,Bouttats,ill,oip,doc,Philibert,"Bouttats, Philibert [jr.]",1635-1707,"Bouttats, Philibert [jr.]",c:stcv:3105340
1,92,a::920.25032:1.2,,Segneri,aut,oip,fp,Paolo,"Segneri, Paolo",1624-1694,Paulus Segneri,c:stcv:3105389
2,93,a::920.41517:1,,"Pape, de",trl,oip,ext,Libert,"Pape, de, Libert",1638-1714,"Pape, de, Libert",c:stcv:3105389
1,94,a::920.7294:1.2,,Hazart,aut,oip,fp,Cornelius,"Hazart, Cornelius",1617-1690,Cornelivs Hazart,c:stcv:3105400
1,95,a::920.43204:1.4,,Vernimmen,aut,oip,fp,Joannes,"Vernimmen, Joannes",,eenen priester van het oratorie,c:stcv:3105418
2,96,a::920.41531:1,,Willemans,trl,oip,doc,Guilliam,"Willemans, Guilliam",,"Willemans, Guilliam",c:stcv:3105418
1,97,a::920.18144:1.1,,"Gorcum, van",aut,oip,fp,Jan,"Gorcum, van, Jan",-1619,Ian van Gorcvm,c:stcv:3105451
1,98,a::920.18144:1.1,,"Gorcum, van",aut,oip,fp,Jan,"Gorcum, van, Jan",-1619,Ian van Gorcvm,c:stcv:3105465
1,99,a::920.18233:1.4,,"Hane, van den",com,oip,fp,Laurens,"Hane, van den, Laurens",1617-1683,Lavrens vanden Hane,c:stcv:3105475
2,100,a::920.23222:1,,"Diepenbeeck, van",ill,oip,doc,Abraham,"Diepenbeeck, van, Abraham",1596-1675,"Diepenbeeck, van, Abraham",c:stcv:3105475
3,101,a::920.41532:1,,Janssens,ill,oip,doc,Hendric,"Janssens, Hendric",1630-,"Janssens, Hendric",c:stcv:3105475
1,102,a::920.4128:1.3,,"Damhoudere, de",aut,oip,fp,Joost,"Damhoudere, de, Joost",1507-1581,Joost de Damhouder,c:stcv:3105493
2,103,a::920.41518:1.1,,Ingelbrecht,trl,oip,fp,Charles Basile,"Ingelbrecht, Charles Basile",,N.N.,c:stcv:3105493
1,104,a::920.98456:1.1,,Salianus,aut,oip,fp,Jacob,"Salianus, Jacob",,Iacobus Salianus,c:stcv:3105502
2,105,a::920.23007:1.1,,Baronius,aut,oip,fp,Caesar,"Baronius, Caesar",1538-1607,Cæsar Baronivs,c:stcv:3105502
3,106,a::920.6106:1.3,,Bellarmin,aut,oip,fp,Robert,"Bellarmin, Robert",1542-1621,Robertvs Bellarminvs,c:stcv:3105502
4,107,a::920.42233:1.1,,Spondanus,aut,oip,fp,Henricus,"Spondanus, Henricus",1568-1643,Henricvs Spondanvs,c:stcv:3105502
5,108,a::920.43014:1.7,,Torsellini,aut,oip,fp,Horatius,"Torsellini, Horatius",1544-1599,Horativs Tvrsellinvs,c:stcv:3105502
6,109,a::920.41519:1.1,,Mudzaert,aut,oip,fp,Dionysius,"Mudzaert, Dionysius",c. 1580-1635,Dionysivs Mvdzaret,c:stcv:3105502
7,110,a::920.41523:1,,Collaert,ill,oip,doc,Jan II,"Collaert, Jan II",1566-1628,"Collaert, Jan II",c:stcv:3105502
8,111,a::920.6338:1,,Rubens,ill,oip,doc,Peter Paul,"Rubens, Peter Paul",1577-1640,"Rubens, Peter Paul",c:stcv:3105502
1,112,a::920.14731:1.1,,"Ribadeneyra, de",aut,oip,fp,Pedro,"Ribadeneyra, de, Pedro",1527-1611,Petrvs Ribadineira,c:stcv:3105530
2,113,a::920.5268:1.2,,Rosweyde,adp,oip,fp,Heribert,"Rosweyde, Heribert",1569-1629,Heribertvs Ros-weydvs,c:stcv:3105530
1,114,a::920.18233:1.4,,"Hane, van den",com,oip,fp,Laurens,"Hane, van den, Laurens",1617-1683,Lavrens vanden Hane,c:stcv:3105606
